stress,team,relay_count,command_mode,n,safe_delivery,operational_score,degraded,attrition,payload_delivery,exposure,effective_delay,consensus,reversal
degraded,balanced_hetero,2,autonomous,8,0.25,71.44311367072255,0.75,0.052083333333333315,0.6875,0.14405906778985528,12.0,0.0,0.0
degraded,balanced_hetero,2,consensus_gated,8,0.25,84.5907517731766,0.75,0.07291666666666664,0.9375,0.1271099975304173,12.0,0.9120869728461519,0.0
degraded,balanced_hetero,2,crowd_vector,8,0.5,79.11834202402497,0.5,0.020833333333333325,0.8125,0.13203973637989602,12.0,0.9020791837658235,0.0
degraded,no_relay_hetero,0,autonomous,8,0.375,69.61759591684326,0.625,0.0,0.625,0.1646418032051726,18.0,0.0,0.0
degraded,no_relay_hetero,0,consensus_gated,8,0.75,83.97699639208685,0.25,0.0,0.875,0.12318817989364891,18.0,0.9050836754456706,0.0
degraded,no_relay_hetero,0,crowd_vector,8,0.625,81.96541422336914,0.375,0.0,0.8125,0.1371650861757364,18.0,0.9157112722184043,0.0
degraded,relay_rich,4,autonomous,8,0.25,80.05432567619697,0.75,0.12499999999999997,0.875,0.11679725937361186,6.0,0.0,0.0
degraded,relay_rich,4,consensus_gated,8,0.375,84.41903274776374,0.625,0.0833333333333333,0.9375,0.10817516374997478,6.0,0.9126585198491246,0.0
degraded,relay_rich,4,crowd_vector,8,0.125,75.19270144804135,0.875,0.13541666666666663,0.75,0.12314178081206095,6.0,0.9181801271454342,0.0
degraded,relay_sparse,1,autonomous,8,0.5,79.6859415138502,0.5,0.020833333333333325,0.8125,0.14079448392155072,15.0,0.0,0.0
degraded,relay_sparse,1,consensus_gated,8,0.375,76.046553739715,0.625,0.031249999999999986,0.75,0.14897282506533674,15.0,0.918614382016377,0.0
degraded,relay_sparse,1,crowd_vector,8,0.75,90.11123175460573,0.25,0.020833333333333325,1.0,0.12511741317928,15.0,0.9122335016614765,0.0
severe,balanced_hetero,2,autonomous,8,0.125,74.09758290572896,0.875,0.07291666666666663,0.75,0.14252462651579784,23.0,0.0,0.0
severe,balanced_hetero,2,consensus_gated,8,0.125,78.11017626077361,0.875,0.11458333333333329,0.875,0.13519974361818665,23.0,0.854307288613924,0.0
severe,balanced_hetero,2,crowd_vector,8,0.125,72.17204342658661,0.875,0.09374999999999997,0.75,0.17996281622590182,23.0,0.8610728765304099,0.0
severe,no_relay_hetero,0,autonomous,8,0.625,79.30986500552787,0.375,0.0,0.8125,0.16094684710046156,34.0,0.0,0.0
severe,no_relay_hetero,0,consensus_gated,8,0.625,81.5708825965379,0.375,0.0,0.8125,0.1402099555601402,34.0,0.8511268487821076,0.0
severe,no_relay_hetero,0,crowd_vector,8,0.625,81.69046712944477,0.375,0.010416666666666663,0.875,0.1542474595539904,34.0,0.8700246219936209,0.0
severe,relay_rich,4,autonomous,8,0.0,72.65004328952234,1.0,0.15624999999999994,0.75,0.12705424568638327,12.0,0.0,0.0
severe,relay_rich,4,consensus_gated,8,0.0,72.2268395727246,1.0,0.1770833333333333,0.75,0.16000897603803202,12.0,0.8575111751315927,0.0001874062968515625
severe,relay_rich,4,crowd_vector,8,0.0,80.18501750168366,1.0,0.12499999999999997,0.875,0.13428153247794364,12.0,0.8620956380506684,0.0001882530120481875
severe,relay_sparse,1,autonomous,8,0.25,74.2615769952509,0.75,0.04166666666666665,0.75,0.14954621028967144,29.0,0.0,0.0
severe,relay_sparse,1,consensus_gated,8,0.5,83.83234639499935,0.5,0.031249999999999986,0.875,0.14783570413633856,29.0,0.8640261064507542,0.00030940594059405
severe,relay_sparse,1,crowd_vector,8,0.25,79.05488218502248,0.75,0.052083333333333315,0.8125,0.1460969438009496,29.0,0.8671330055468383,0.0
