contrast,metric,delta_left_minus_right,ci95_low,ci95_high,n_left,n_right
"A crowd vs autonomous, degraded",safe_delivery_success,0.08750000000000002,0.025000000000000022,0.1520833333333333,480,480
"A crowd vs autonomous, degraded",operational_score,2.3276385045118246,1.6202632326449642,3.0459125254250146,480,480
"A crowd vs autonomous, degraded",degraded_outcome,-0.1479166666666667,-0.20208333333333328,-0.09166666666666667,480,480
"A crowd vs autonomous, degraded",exposure_per_agent_step,-0.0038929172402127343,-0.006706219991883429,-0.0010586621196172165,480,480
"A crowd vs autonomous, degraded",attrition_rate,-0.009548611111111112,-0.016666666666666656,-0.002083333333333333,480,480
"A crowd vs autonomous, degraded",mean_effective_map_delay,-0.011217413554591715,-0.3721505383120597,0.33340306554638777,480,480
"A crowd vs autonomous, severe",safe_delivery_success,0.05833333333333329,-0.002135416666666656,0.11874999999999997,480,480
"A crowd vs autonomous, severe",operational_score,1.798556486504566,1.0508499326989722,2.539272854081508,480,480
"A crowd vs autonomous, severe",degraded_outcome,-0.10833333333333328,-0.15833333333333333,-0.05625000000000002,480,480
"A crowd vs autonomous, severe",exposure_per_agent_step,-0.005940014629198687,-0.008903963286105748,-0.0030387577227679583,480,480
"A crowd vs autonomous, severe",attrition_rate,-0.0015624999999999944,-0.01076822916666665,0.007986111111111104,480,480
"A crowd vs autonomous, severe",mean_effective_map_delay,-0.15071054397163408,-0.8514038720171023,0.5687103627214949,480,480
"A consensus_gated vs crowd, degraded",safe_delivery_success,0.03541666666666665,-0.027083333333333348,0.09166666666666667,480,480
"A consensus_gated vs crowd, degraded",operational_score,0.06601177811140246,-0.5489990875171564,0.7383440349958276,480,480
"A consensus_gated vs crowd, degraded",degraded_outcome,-0.04166666666666663,-0.10421875000000007,0.018749999999999933,480,480
"A consensus_gated vs crowd, degraded",exposure_per_agent_step,-0.0026902379946604216,-0.005512525814125803,0.00012295543661671474,480,480
"A consensus_gated vs crowd, degraded",attrition_rate,-0.002430555555555561,-0.00902777777777777,0.003993055555555552,480,480
"A consensus_gated vs crowd, degraded",mean_effective_map_delay,-0.013103566959156154,-0.37572046923339875,0.3436907783097384,480,480
"A stale_hold vs crowd, degraded",safe_delivery_success,-0.022916666666666696,-0.08333333333333337,0.03749999999999998,480,480
"A stale_hold vs crowd, degraded",operational_score,0.021157676283849014,-0.6995389216165154,0.6818855610714272,480,480
"A stale_hold vs crowd, degraded",degraded_outcome,0.006250000000000089,-0.058385416666666676,0.06874999999999998,480,480
"A stale_hold vs crowd, degraded",exposure_per_agent_step,-0.003862371950068874,-0.006589126216542215,-0.0009611986534516174,480,480
"A stale_hold vs crowd, degraded",attrition_rate,0.00468749999999999,-0.0022569444444444434,0.01145833333333333,480,480
"A stale_hold vs crowd, degraded",mean_effective_map_delay,0.012205318785056818,-0.34188050364905825,0.36670313551758665,480,480
B scout_belief vs delayed,safe_delivery_success,0.018750000000000044,-0.026041666666666685,0.06458333333333333,960,960
B scout_belief vs delayed,operational_score,0.48437169424101967,-0.05827333422527019,0.9816150174914371,960,960
B scout_belief vs delayed,degraded_outcome,-0.029166666666666674,-0.06773437500000003,0.01145833333333324,960,960
B scout_belief vs delayed,exposure_per_agent_step,-0.0014335128671734282,-0.003597974991092262,0.0005259601217473104,960,960
B scout_belief vs delayed,attrition_rate,-0.0013020833333333426,-0.00755208333333332,0.0047743055555555525,960,960
B scout_belief vs delayed,mean_effective_map_delay,-0.048933048513374544,-0.6191654709815715,0.5606736367658152,960,960
B scout_belief vs no_shared,safe_delivery_success,-0.03958333333333336,-0.08333333333333331,0.004166666666666652,960,960
B scout_belief vs no_shared,operational_score,-0.4662818053433284,-0.958955274215775,0.035947744625623404,960,960
B scout_belief vs no_shared,degraded_outcome,0.048958333333333326,0.008333333333333411,0.09166666666666667,960,960
B scout_belief vs no_shared,exposure_per_agent_step,0.0022836181844956976,0.00024746190448328816,0.004405869268014359,960,960
B scout_belief vs no_shared,attrition_rate,0.004253472222222214,-0.0015624999999999947,0.01007161458333332,960,960
B scout_belief vs no_shared,mean_effective_map_delay,-0.01681418368463028,-0.5564505739456479,0.5604651323793736,960,960
E balanced_hetero vs no_relay_hetero,safe_delivery_success,-0.08723958333333331,-0.13541666666666669,-0.037760416666666685,768,768
E balanced_hetero vs no_relay_hetero,operational_score,-0.21692053770945563,-0.8245534106618362,0.406707916959789,768,768
E balanced_hetero vs no_relay_hetero,degraded_outcome,0.03645833333333326,-0.0130533854166667,0.08203125,768,768
E balanced_hetero vs no_relay_hetero,exposure_per_agent_step,0.003082961789667382,0.0010121977555358139,0.005042006041566127,768,768
E balanced_hetero vs no_relay_hetero,attrition_rate,0.017035590277777776,0.0107421875,0.023328993055555552,768,768
E balanced_hetero vs no_relay_hetero,mean_effective_map_delay,-5.64545033028935,-6.140212422303175,-5.116488369394429,768,768
E relay_rich vs no_relay_hetero,safe_delivery_success,-0.16666666666666669,-0.21744791666666663,-0.11718749999999994,768,768
E relay_rich vs no_relay_hetero,operational_score,-1.5353342542485109,-2.1301728522585313,-0.9027232821822779,768,768
E relay_rich vs no_relay_hetero,degraded_outcome,0.13020833333333326,0.08333333333333337,0.17711588541666654,768,768
E relay_rich vs no_relay_hetero,exposure_per_agent_step,0.007571435602476681,0.005448280036476935,0.009689830017108946,768,768
E relay_rich vs no_relay_hetero,attrition_rate,0.024956597222222217,0.018229166666666657,0.03135850694444443,768,768
E relay_rich vs no_relay_hetero,mean_effective_map_delay,-11.26164729475897,-11.713762306992448,-10.779900478496186,768,768
