stress,contrast,metric,delta,ci95_low,ci95_high,n_left,n_right
degraded,relay_1_minus_0,safe_delivery_success,-0.025000000000000022,-0.08749999999999991,0.03749999999999998,480,480
degraded,relay_1_minus_0,operational_score,-0.08903531595534275,-0.8491161266090718,0.6613207916916178,480,480
degraded,relay_1_minus_0,degraded_outcome,-0.004166666666666652,-0.0625,0.05630208333333296,480,480
degraded,relay_1_minus_0,exposure_per_agent_step,0.002435832742790328,-0.00015727181528656163,0.005180650803159896,480,480
degraded,relay_1_minus_0,attrition_rate,0.002777777777777775,-0.003476562500000008,0.009201388888888884,480,480
degraded,relay_1_minus_0,mean_effective_map_delay,-1.9318197162735,-1.9554188741574454,-1.905143882075364,480,480
degraded,relay_2_minus_1,safe_delivery_success,-0.033333333333333326,-0.09171875,0.03125,480,480
degraded,relay_2_minus_1,operational_score,-0.4321114872630858,-1.0710735936609528,0.2380728608550507,480,480
degraded,relay_2_minus_1,degraded_outcome,0.004166666666666652,-0.054166666666666696,0.06874999999999998,480,480
degraded,relay_2_minus_1,exposure_per_agent_step,0.0010680680802716835,-0.0015867234031209806,0.003453318157026475,480,480
degraded,relay_2_minus_1,attrition_rate,0.00798611111111111,0.0012109374999999896,0.015277777777777765,480,480
degraded,relay_2_minus_1,mean_effective_map_delay,-1.9107203931160708,-1.9591081657311304,-1.8637237674861875,480,480
degraded,relay_3_minus_2,safe_delivery_success,-0.03749999999999998,-0.09791666666666671,0.025000000000000022,480,480
degraded,relay_3_minus_2,operational_score,-0.39240165435769825,-1.0576146446898307,0.29809195961787976,480,480
degraded,relay_3_minus_2,degraded_outcome,0.04791666666666661,-0.014583333333333393,0.10625000000000007,480,480
degraded,relay_3_minus_2,exposure_per_agent_step,0.0030962058912294976,0.00039870776545552697,0.005719786646475222,480,480
degraded,relay_3_minus_2,attrition_rate,0.0,-0.007118055555555551,0.007465277777777772,480,480
degraded,relay_3_minus_2,mean_effective_map_delay,-1.9440407080317774,-2.0038651609453364,-1.8837852669247546,480,480
degraded,relay_4_minus_3,safe_delivery_success,-0.031250000000000056,-0.09380208333333338,0.03125,480,480
degraded,relay_4_minus_3,operational_score,-0.24526466717377104,-1.0591409690399203,0.4937402430699723,480,480
degraded,relay_4_minus_3,degraded_outcome,0.04166666666666674,-0.016666666666666607,0.10208333333333341,480,480
degraded,relay_4_minus_3,exposure_per_agent_step,0.0010230413307202868,-0.00166076730911843,0.003604113395035033,480,480
degraded,relay_4_minus_3,attrition_rate,0.0065972222222222265,-0.00104166666666667,0.014409722222222213,480,480
degraded,relay_4_minus_3,mean_effective_map_delay,-1.902566587050698,-1.9743456815456846,-1.8268066914591012,480,480
degraded,relay_4_minus_0,safe_delivery_success,-0.12708333333333338,-0.1875,-0.06666666666666665,480,480
degraded,relay_4_minus_0,operational_score,-1.1588131247498978,-1.9343531417333768,-0.41703742997739435,480,480
degraded,relay_4_minus_0,degraded_outcome,0.08958333333333335,0.03125,0.1499999999999999,480,480
degraded,relay_4_minus_0,exposure_per_agent_step,0.007623148045011796,0.004949995305844199,0.010311991408332543,480,480
degraded,relay_4_minus_0,attrition_rate,0.017361111111111112,0.009722222222222215,0.024826388888888877,480,480
degraded,relay_4_minus_0,mean_effective_map_delay,-7.689147404472046,-7.748694005111386,-7.625723819702253,480,480
degraded,relay_2_minus_0,safe_delivery_success,-0.05833333333333335,-0.12083333333333335,0.0041666666666666545,480,480
degraded,relay_2_minus_0,operational_score,-0.5211468032184285,-1.233911790638744,0.19973221952643275,480,480
degraded,relay_2_minus_0,degraded_outcome,0.0,-0.06255208333333333,0.060416666666666674,480,480
degraded,relay_2_minus_0,exposure_per_agent_step,0.0035039008230620117,0.0009478424313516132,0.00602552881310944,480,480
degraded,relay_2_minus_0,attrition_rate,0.010763888888888885,0.0038151041666666607,0.017708333333333333,480,480
degraded,relay_2_minus_0,mean_effective_map_delay,-3.842540109389571,-3.881694563446738,-3.8018923959519526,480,480
severe,relay_1_minus_0,safe_delivery_success,0.002083333333333326,-0.060416666666666674,0.06458333333333338,480,480
severe,relay_1_minus_0,operational_score,0.2244049450917629,-0.553517449088449,0.94804063063345,480,480
severe,relay_1_minus_0,degraded_outcome,-0.01666666666666672,-0.07708333333333328,0.041718749999999784,480,480
severe,relay_1_minus_0,exposure_per_agent_step,0.0035516127676059467,0.0011005913096909428,0.006317325232070672,480,480
severe,relay_1_minus_0,attrition_rate,0.005902777777777771,-0.0022569444444444364,0.013719618055555539,480,480
severe,relay_1_minus_0,mean_effective_map_delay,-3.7783769766568938,-3.8342207803287764,-3.7106882269822985,480,480
severe,relay_2_minus_1,safe_delivery_success,-0.08749999999999997,-0.14583333333333331,-0.025000000000000022,480,480
severe,relay_2_minus_1,operational_score,-0.06482488415066712,-0.8121683986179391,0.7475469864969396,480,480
severe,relay_2_minus_1,degraded_outcome,0.05625000000000002,0.0,0.1125520833333331,480,480
severe,relay_2_minus_1,exposure_per_agent_step,0.0002835246345369441,-0.00229288631009738,0.0029431078512137227,480,480
severe,relay_2_minus_1,attrition_rate,0.0126736111111111,0.0036414930555555437,0.021532118055555532,480,480
severe,relay_2_minus_1,mean_effective_map_delay,-3.6756939582327988,-3.790213264977294,-3.5649315711821496,480,480
severe,relay_3_minus_2,safe_delivery_success,-0.04791666666666666,-0.10625000000000001,0.010416666666666685,480,480
severe,relay_3_minus_2,operational_score,-1.084988319943264,-1.854381861682897,-0.3497957893418879,480,480
severe,relay_3_minus_2,degraded_outcome,0.022916666666666696,-0.033333333333333326,0.07916666666666661,480,480
severe,relay_3_minus_2,exposure_per_agent_step,0.0005738243927592424,-0.00214517863329109,0.00319773915354147,480,480
severe,relay_3_minus_2,attrition_rate,0.00798611111111111,-0.001914062499999993,0.017013888888888884,480,480
severe,relay_3_minus_2,mean_effective_map_delay,-3.6180284136015324,-3.778593084182503,-3.4462849493250522,480,480
severe,relay_4_minus_3,safe_delivery_success,-0.022916666666666696,-0.07916666666666666,0.03125,480,480
severe,relay_4_minus_3,operational_score,-0.5972844737892729,-1.403283736009556,0.2250056732800212,480,480
severe,relay_4_minus_3,degraded_outcome,0.025000000000000022,-0.029166666666666674,0.07916666666666661,480,480
severe,relay_4_minus_3,exposure_per_agent_step,0.002388676651608801,-0.00031341123672498254,0.00517360348672097,480,480
severe,relay_4_minus_3,attrition_rate,0.004861111111111122,-0.004518229166666678,0.01424045138888887,480,480
severe,relay_4_minus_3,mean_effective_map_delay,-3.69711060891229,-3.916857253465992,-3.4841051429072514,480,480
severe,relay_4_minus_0,safe_delivery_success,-0.15625,-0.21671875000000004,-0.10203125000000025,480,480
severe,relay_4_minus_0,operational_score,-1.522692732791441,-2.3318119897291636,-0.7472803318443338,480,480
severe,relay_4_minus_0,degraded_outcome,0.08750000000000002,0.03328125,0.14375000000000004,480,480
severe,relay_4_minus_0,exposure_per_agent_step,0.006797638446510934,0.004020916841662075,0.009584238301984037,480,480
severe,relay_4_minus_0,attrition_rate,0.031423611111111104,0.022912326388888876,0.040451388888888856,480,480
severe,relay_4_minus_0,mean_effective_map_delay,-14.769209957403515,-14.926047393742246,-14.604275659352721,480,480
severe,relay_2_minus_0,safe_delivery_success,-0.08541666666666664,-0.14583333333333337,-0.016666666666666663,480,480
severe,relay_2_minus_0,operational_score,0.15958006094109578,-0.6110107959607202,0.9127939623886852,480,480
severe,relay_2_minus_0,degraded_outcome,0.039583333333333304,-0.016718750000000046,0.09999999999999998,480,480
severe,relay_2_minus_0,exposure_per_agent_step,0.003835137402142891,0.0011344466572924398,0.006432234997632978,480,480
severe,relay_2_minus_0,attrition_rate,0.01857638888888887,0.010069444444444443,0.026909722222222203,480,480
severe,relay_2_minus_0,mean_effective_map_delay,-7.4540709348896925,-7.544661569248826,-7.343851309924563,480,480
