stress,team,relay_count,n,safe_delivery,operational_score,degraded,exposure,attrition,effective_delay,map_mse
degraded,no_relay_hetero,0,480,0.6166666666666667,76.41758675071507,0.5583333333333333,0.11282393439352499,0.03315972222222221,12.0,0.011810179211781437
degraded,relay_sparse,1,480,0.5916666666666667,76.32855143475972,0.5541666666666667,0.11525976713631529,0.03593749999999998,10.0681802837265,0.01204834712203136
degraded,balanced_hetero,2,480,0.5583333333333333,75.89643994749665,0.5583333333333333,0.11632783521658699,0.043923611111111094,8.15745989061043,0.011925765866039502
degraded,relay_mid,3,480,0.5208333333333334,75.50403829313895,0.60625,0.1194240411078165,0.043923611111111094,6.213419182578652,0.012260620793486004
degraded,relay_rich,4,480,0.4895833333333333,75.25877362596516,0.6479166666666667,0.12044708243853679,0.05052083333333332,4.3108525955279555,0.012217690966733648
severe,no_relay_hetero,0,480,0.44166666666666665,75.34082346771449,0.6854166666666667,0.11341910344385171,0.05451388888888887,24.0,0.013366598810769235
severe,relay_sparse,1,480,0.44375,75.56522841280622,0.66875,0.11697071621145767,0.060416666666666646,20.221623023343106,0.01322709389599203
severe,balanced_hetero,2,480,0.35625,75.50040352865557,0.725,0.11725424084599462,0.07309027777777775,16.545929065110307,0.013020578477893391
severe,relay_mid,3,480,0.30833333333333335,74.4154152087123,0.7479166666666667,0.11782806523875387,0.08107638888888886,12.927900651508775,0.01271078020466306
severe,relay_rich,4,480,0.28541666666666665,73.81813073492305,0.7729166666666667,0.12021674189036266,0.08593749999999997,9.230790042596485,0.012732521713439821
